"Plot Title: APIS02_20549198_2021_temp"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20549198, SEN S/N: 20549198)","Intensity, lum/ft² (LGR S/N: 20549198, SEN S/N: 20549198)","Bad Battery (LGR S/N: 20549198)","Good Battery (LGR S/N: 20549198)","Coupler Attached (LGR S/N: 20549198)","Host Connected (LGR S/N: 20549198)","Stopped (LGR S/N: 20549198)","End Of File (LGR S/N: 20549198)"
1,01/01/21 12:00:00,18.685,384.0,,,,,,
2,01/01/21 13:00:00,19.382,320.0,,,,,,
3,01/01/21 14:00:00,19.843,320.0,,,,,,
4,01/01/21 15:00:00,20.984,288.0,,,,,,
5,01/01/21 16:00:00,21.659,152.0,,,,,,
6,01/01/21 17:00:00,21.659,37.0,,,,,,
7,01/01/21 18:00:00,21.209,0.0,,,,,,
8,01/01/21 19:00:00,21.434,0.0,,,,,,
9,01/01/21 20:00:00,22.107,0.0,,,,,,
10,01/01/21 21:00:00,22.775,0.0,,,,,,
11,01/01/21 22:00:00,23.655,0.0,,,,,,
12,01/01/21 23:00:00,24.093,0.0,,,,,,
13,01/02/21 00:00:00,24.744,0.0,,,,,,
14,01/02/21 01:00:00,25.174,0.0,,,,,,
15,01/02/21 02:00:00,24.744,0.0,,,,,,
16,01/02/21 03:00:00,24.093,0.0,,,,,,
17,01/02/21 04:00:00,23.875,0.0,,,,,,
18,01/02/21 05:00:00,23.875,0.0,,,,,,
19,01/02/21 06:00:00,24.093,0.0,,,,,,
20,01/02/21 07:00:00,23.875,0.0,,,,,,
21,01/02/21 08:00:00,22.552,0.0,,,,,,
22,01/02/21 09:00:00,22.107,17.0,,,,,,
23,01/02/21 10:00:00,22.330,176.0,,,,,,
24,01/02/21 11:00:00,24.093,480.0,,,,,,
25,01/02/21 12:00:00,34.198,2560.0,,,,,,
26,01/02/21 13:00:00,34.394,2048.0,,,,,,
27,01/02/21 14:00:00,36.914,2304.0,,,,,,
28,01/02/21 15:00:00,39.196,1344.0,,,,,,
29,01/02/21 16:00:00,40.509,864.0,,,,,,
30,01/02/21 17:00:00,31.012,106.0,,,,,,
31,01/02/21 18:00:00,24.526,0.0,,,,,,
32,01/02/21 19:00:00,21.659,0.0,,,,,,
33,01/02/21 20:00:00,19.612,0.0,,,,,,
34,01/02/21 21:00:00,17.983,0.0,,,,,,
35,01/02/21 22:00:00,16.317,0.0,,,,,,
36,01/02/21 23:00:00,15.102,0.0,,,,,,
37,01/03/21 00:00:00,13.865,0.0,,,,,,
38,01/03/21 01:00:00,13.113,0.0,,,,,,
39,01/03/21 02:00:00,11.840,0.0,,,,,,
40,01/03/21 03:00:00,11.064,0.0,,,,,,
41,01/03/21 04:00:00,10.540,0.0,,,,,,
42,01/03/21 05:00:00,10.278,0.0,,,,,,
43,01/03/21 06:00:00,9.484,0.0,,,,,,
44,01/03/21 07:00:00,9.216,0.0,,,,,,
45,01/03/21 08:00:00,9.750,0.0,,,,,,
46,01/03/21 09:00:00,24.093,40.0,,,,,,
47,01/03/21 10:00:00,19.843,352.0,,,,,,
48,01/03/21 11:00:00,26.458,1792.0,,,,,,
49,01/03/21 12:00:00,36.723,2560.0,,,,,,
50,01/03/21 13:00:00,36.914,1728.0,,,,,,
51,01/03/21 14:00:00,39.573,2048.0,,,,,,
52,01/03/21 15:00:00,41.067,1216.0,,,,,,
53,01/03/21 16:00:00,40.696,704.0,,,,,,
54,01/03/21 17:00:00,29.379,114.0,,,,,,
55,01/03/21 18:00:00,25.819,0.0,,,,,,
56,01/03/21 19:00:00,23.875,0.0,,,,,,
57,01/03/21 20:00:00,22.107,0.0,,,,,,
58,01/03/21 21:00:00,20.529,0.0,,,,,,
59,01/03/21 22:00:00,20.073,0.0,,,,,,
60,01/03/21 23:00:00,20.302,0.0,,,,,,
61,01/04/21 00:00:00,19.382,0.0,,,,,,
62,01/04/21 01:00:00,18.685,0.0,,,,,,
63,01/04/21 02:00:00,18.685,0.0,,,,,,
64,01/04/21 03:00:00,17.510,0.0,,,,,,
65,01/04/21 04:00:00,16.556,0.0,,,,,,
66,01/04/21 05:00:00,15.102,0.0,,,,,,
67,01/04/21 06:00:00,16.795,0.0,,,,,,
68,01/04/21 07:00:00,14.855,0.0,,,,,,
69,01/04/21 08:00:00,13.865,0.0,,,,,,
70,01/04/21 09:00:00,13.113,36.0,,,,,,
71,01/04/21 10:00:00,18.217,248.0,,,,,,
72,01/04/21 11:00:00,27.511,352.0,,,,,,
73,01/04/21 12:00:00,30.607,464.0,,,,,,
74,01/04/21 13:00:00,30.808,248.0,,,,,,
75,01/04/21 14:00:00,30.198,256.0,,,,,,
76,01/04/21 15:00:00,30.403,184.0,,,,,,
77,01/04/21 16:00:00,30.808,248.0,,,,,,
78,01/04/21 17:00:00,32.018,111.0,,,,,,
79,01/04/21 18:00:00,32.815,0.0,,,,,,
80,01/04/21 19:00:00,33.805,0.0,,,,,,
81,01/04/21 20:00:00,33.213,0.0,,,,,,
82,01/04/21 21:00:00,32.815,0.0,,,,,,
83,01/04/21 22:00:00,33.213,0.0,,,,,,
84,01/04/21 23:00:00,32.218,0.0,,,,,,
85,01/05/21 00:00:00,30.607,0.0,,,,,,
86,01/05/21 01:00:00,32.815,0.0,,,,,,
87,01/05/21 02:00:00,32.218,0.0,,,,,,
88,01/05/21 03:00:00,27.721,0.0,,,,,,
89,01/05/21 04:00:00,27.302,0.0,,,,,,
90,01/05/21 05:00:00,24.093,0.0,,,,,,
91,01/05/21 06:00:00,23.875,0.0,,,,,,
92,01/05/21 07:00:00,23.216,0.0,,,,,,
93,01/05/21 08:00:00,26.458,0.0,,,,,,
94,01/05/21 09:00:00,26.245,69.0,,,,,,
95,01/05/21 10:00:00,29.174,240.0,,,,,,
96,01/05/21 11:00:00,34.590,1856.0,,,,,,
97,01/05/21 12:00:00,38.818,2560.0,,,,,,
98,01/05/21 13:00:00,38.250,2048.0,,,,,,
99,01/05/21 14:00:00,38.629,1984.0,,,,,,
100,01/05/21 15:00:00,39.760,1536.0,,,,,,
101,01/05/21 16:00:00,39.384,800.0,,,,,,
102,01/05/21 17:00:00,29.174,76.0,,,,,,
103,01/05/21 18:00:00,25.174,0.0,,,,,,
104,01/05/21 19:00:00,22.107,0.0,,,,,,
105,01/05/21 20:00:00,19.843,0.0,,,,,,
106,01/05/21 21:00:00,18.451,0.0,,,,,,
107,01/05/21 22:00:00,16.795,0.0,,,,,,
108,01/05/21 23:00:00,15.589,0.0,,,,,,
109,01/06/21 00:00:00,15.102,0.0,,,,,,
110,01/06/21 01:00:00,14.608,0.0,,,,,,
111,01/06/21 02:00:00,15.102,0.0,,,,,,
112,01/06/21 03:00:00,14.855,0.0,,,,,,
113,01/06/21 04:00:00,13.865,0.0,,,,,,
114,01/06/21 05:00:00,12.859,0.0,,,,,,
115,01/06/21 06:00:00,12.096,0.0,,,,,,
116,01/06/21 07:00:00,11.323,0.0,,,,,,
117,01/06/21 08:00:00,11.323,0.0,,,,,,
118,01/06/21 09:00:00,12.351,60.0,,,,,,
119,01/06/21 10:00:00,17.035,352.0,,,,,,
120,01/06/21 11:00:00,22.995,672.0,,,,,,
121,01/06/21 12:00:00,29.586,608.0,,,,,,
122,01/06/21 13:00:00,29.379,800.0,,,,,,
123,01/06/21 14:00:00,28.969,464.0,,,,,,
124,01/06/21 15:00:00,29.379,256.0,,,,,,
125,01/06/21 16:00:00,31.617,368.0,,,,,,
126,01/06/21 17:00:00,27.721,74.0,,,,,,
127,01/06/21 18:00:00,25.174,0.0,,,,,,
128,01/06/21 19:00:00,24.093,0.0,,,,,,
129,01/06/21 20:00:00,24.093,0.0,,,,,,
130,01/06/21 21:00:00,24.310,0.0,,,,,,
131,01/06/21 22:00:00,24.093,0.0,,,,,,
132,01/06/21 23:00:00,20.984,0.0,,,,,,
133,01/07/21 00:00:00,18.919,0.0,,,,,,
134,01/07/21 01:00:00,16.795,0.0,,,,,,
135,01/07/21 02:00:00,14.855,0.0,,,,,,
136,01/07/21 03:00:00,13.615,0.0,,,,,,
137,01/07/21 04:00:00,12.607,0.0,,,,,,
138,01/07/21 05:00:00,11.840,0.0,,,,,,
139,01/07/21 06:00:00,11.064,0.0,,,,,,
140,01/07/21 07:00:00,10.278,0.0,,,,,,
141,01/07/21 08:00:00,9.484,0.0,,,,,,
142,01/07/21 09:00:00,8.947,46.0,,,,,,
143,01/07/21 10:00:00,11.581,368.0,,,,,,
144,01/07/21 11:00:00,17.035,608.0,,,,,,
145,01/07/21 12:00:00,36.338,2432.0,,,,,,
146,01/07/21 13:00:00,39.007,1920.0,,,,,,
147,01/07/21 14:00:00,34.198,1152.0,,,,,,
148,01/07/21 15:00:00,30.607,576.0,,,,,,
149,01/07/21 16:00:00,30.808,304.0,,,,,,
150,01/07/21 17:00:00,28.555,78.0,,,,,,
151,01/07/21 18:00:00,26.668,0.0,,,,,,
152,01/07/21 19:00:00,24.960,0.0,,,,,,
153,01/07/21 20:00:00,22.107,0.0,,,,,,
154,01/07/21 21:00:00,19.612,0.0,,,,,,
155,01/07/21 22:00:00,22.330,0.0,,,,,,
156,01/07/21 23:00:00,23.436,0.0,,,,,,
157,01/08/21 00:00:00,25.174,0.0,,,,,,
158,01/08/21 01:00:00,24.960,0.0,,,,,,
159,01/08/21 02:00:00,25.605,0.0,,,,,,
160,01/08/21 03:00:00,24.960,0.0,,,,,,
161,01/08/21 04:00:00,23.216,0.0,,,,,,
162,01/08/21 05:00:00,22.107,0.0,,,,,,
163,01/08/21 06:00:00,21.209,0.0,,,,,,
164,01/08/21 07:00:00,21.659,0.0,,,,,,
165,01/08/21 08:00:00,22.107,0.0,,,,,,
166,01/08/21 09:00:00,22.330,19.0,,,,,,
167,01/08/21 10:00:00,22.775,128.0,,,,,,
168,01/08/21 11:00:00,23.875,304.0,,,,,,
169,01/08/21 12:00:00,24.526,320.0,,,,,,
170,01/08/21 13:00:00,24.744,416.0,,,,,,
171,01/08/21 14:00:00,26.245,608.0,,,,,,
172,01/08/21 15:00:00,25.819,384.0,,,,,,
173,01/08/21 16:00:00,32.418,800.0,,,,,,
174,01/08/21 17:00:00,24.526,60.0,,,,,,
175,01/08/21 18:00:00,23.436,0.0,,,,,,
176,01/08/21 19:00:00,20.984,0.0,,,,,,
177,01/08/21 20:00:00,20.302,0.0,,,,,,
178,01/08/21 21:00:00,20.302,0.0,,,,,,
179,01/08/21 22:00:00,16.075,0.0,,,,,,
180,01/08/21 23:00:00,13.615,0.0,,,,,,
181,01/09/21 00:00:00,17.035,0.0,,,,,,
182,01/09/21 01:00:00,19.152,0.0,,,,,,
183,01/09/21 02:00:00,20.302,0.0,,,,,,
184,01/09/21 03:00:00,21.434,0.0,,,,,,
185,01/09/21 04:00:00,22.552,0.0,,,,,,
186,01/09/21 05:00:00,24.093,0.0,,,,,,
187,01/09/21 06:00:00,24.526,0.0,,,,,,
188,01/09/21 07:00:00,26.881,0.0,,,,,,
189,01/09/21 08:00:00,26.458,0.0,,,,,,
190,01/09/21 09:00:00,26.881,9.0,,,,,,
191,01/09/21 10:00:00,27.302,32.0,,,,,,
192,01/09/21 11:00:00,27.511,152.0,,,,,,
193,01/09/21 12:00:00,28.346,200.0,,,,,,
194,01/09/21 13:00:00,27.930,272.0,,,,,,
195,01/09/21 14:00:00,28.346,304.0,,,,,,
196,01/09/21 15:00:00,28.969,368.0,,,,,,
197,01/09/21 16:00:00,28.969,320.0,,,,,,
198,01/09/21 17:00:00,28.346,96.0,,,,,,
